,ECG,TIME
861,2606.61572265625,1609287642.334609
862,2705.879638671875,1609287642.334641
863,2753.667724609375,1609287642.334648
864,2634.443603515625,1609287642.334655
865,2584.666259765625,1609287642.334662
866,2694.97216796875,1609287642.334669
867,2767.72705078125,1609287642.334676
868,2656.705810546875,1609287642.334683
869,2575.59130859375,1609287642.33469
870,2654.739013671875,1609287642.334697
871,2767.391845703125,1609287642.334704
872,2713.77001953125,1609287642.393708
873,2614.125732421875,1609287642.393728
874,2692.6474609375,1609287642.393738
875,2822.376953125,1609287642.393747
876,2769.760986328125,1609287642.393756
877,2654.448486328125,1609287642.393764
878,2685.2490234375,1609287642.393773
879,2807.22265625,1609287642.393782
880,2806.5966796875,1609287642.393791
881,2696.201416015625,1609287642.393801
882,2691.93212890625,1609287642.393809
883,2812.87744140625,1609287642.393818
884,2822.935791015625,1609287642.393827
885,2678.6552734375,1609287642.393866
886,2634.6669921875,1609287642.393876
887,2748.92919921875,1609287642.45398
888,2782.769775390625,1609287642.453998
889,2685.2490234375,1609287642.454005
890,2609.566162109375,1609287642.454012
891,2708.0478515625,1609287642.454019
892,2798.818359375,1609287642.454026
893,2700.33642578125,1609287642.454033
894,2613.052978515625,1609287642.45404
895,2698.704833984375,1609287642.454047
896,2813.458740234375,1609287642.454054
897,2746.8505859375,1609287642.454061
898,2643.049072265625,1609287642.454068
899,2697.0732421875,1609287642.454075
900,2810.150634765625,1609287642.454082
901,2784.49072265625,1609287642.454119
902,2668.932373046875,1609287642.514231
903,2699.2412109375,1609287642.514251
904,2819.203125,1609287642.514258
905,2814.017578125,1609287642.514265
906,2678.789306640625,1609287642.514272
907,2665.2890625,1609287642.514279
908,2782.881591796875,1609287642.514311
909,2805.166259765625,1609287642.514318
910,2690.926513671875,1609287642.514325
911,2665.35595703125,1609287642.514331
912,2785.675537109375,1609287642.514338
913,2840.7724609375,1609287642.514345
914,2724.6328125,1609287642.514352
915,2643.451416015625,1609287642.514359
916,2747.655029296875,1609287642.514366
917,2840.213623046875,1609287642.574402
918,2757.892333984375,1609287642.574421
919,2647.2734375,1609287642.574428
920,2743.296630859375,1609287642.574435
921,2864.68896484375,1609287642.574442
922,2801.656982421875,1609287642.574449
923,2696.112060546875,1609287642.574456
924,2720.989501953125,1609287642.574463
925,2856.306884765625,1609287642.57447
926,2835.67626953125,1609287642.574476
927,2728.052734375,1609287642.574484
928,2752.2373046875,1609287642.574491
929,2890.214599609375,1609287642.574498
930,2893.522705078125,1609287642.574505
931,2766.49755859375,1609287642.574536
932,2733.797119140625,1609287642.633654
933,2852.618896484375,1609287642.633673
934,2905.994873046875,1609287642.63368
935,2782.6357421875,1609287642.633687
936,2747.096435546875,1609287642.633694
937,2865.7841796875,1609287642.633701
938,2942.115234375,1609287642.633708
939,2840.236083984375,1609287642.633715
940,2756.372314453125,1609287642.633721
941,2836.346923828125,1609287642.633728
942,2929.084228515625,1609287642.633735
943,2866.633544921875,1609287642.633742
944,2761.647216796875,1609287642.633749
945,2823.4052734375,1609287642.633756
946,2952.464111328125,1609287642.633763
947,2892.5615234375,1609287642.693388
948,2783.10498046875,1609287642.693409
949,2801.142822265625,1609287642.693418
950,2942.3388671875,1609287642.693426
951,2915.315673828125,1609287642.693434
952,2786.2119140625,1609287642.693442
953,2801.835693359375,1609287642.69345
954,2923.988037109375,1609287642.693458
955,2935.364990234375,1609287642.693493
956,2811.91650390625,1609287642.693501
957,2780.69091796875,1609287642.693509
958,2902.46337890625,1609287642.693517
